INDEX,TARGET,FixedAcidity,VolatileAcidity,CitricAcid,ResidualSugar,Chlorides,FreeSulfurDioxide,TotalSulfurDioxide,Density,pH,Sulphates,Alcohol,LabelAppeal,AcidIndex,STARS
1304,,7.8,0.57,-0.99,9.9,0.577,108,181,1.04239,3.19,0.04,10.9,1,8,2
1305,,8.6,0.26,-0.66,2.2,0.254,6,169,0.9903,4.64,0.42,12.9,-2,8,3
1323,,-1.3,0.23,0.35,-12.1,0.174,128,212,1.01119,3.34,1.41,8.9,1,8,2
1342,,6.7,1.74,0.66,8.9,-0.334,75,111,0.9968,3.25,,11,0,7,
1348,,6.5,0.09,-0.99,-32.2,,-12,166,0.98485,4.46,,3.2,-1,7,1
1353,,-4.5,0.03,0.41,1.3,0.044,-25,171,0.99293,3.28,-0.93,10.3,0,8,2
1363,,7.9,0.705,0.26,29.2,0.057,40,190,0.9932,2.76,0.39,17.4,-1,8,2
1371,,3.3,-0.39,0.58,8.2,0.359,-252,-251,0.99275,3.28,1.27,12.2,0,8,2
1372,,7.7,0.22,-1.19,-44.8,0.029,41,-7,1.02145,,0.99,15.5,-1,8,
1378,,8.3,1.18,0.38,1.1,0.038,249,75,0.96249,2.06,0.43,9.2,0,9,
1381,,10.2,1.57,0.64,-22.6,-0.41,251,41,1.01022,3.23,0.66,12.5,0,11,3
1382,,6.8,0.11,0.34,45.9,0.02,38,66,0.99212,2.8,-0.48,12,0,8,3
1393,,4.8,-0.15,-0.17,-17.1,0.552,-180,171,0.99709,3.03,,10.3,1,8,2
1394,,3.8,0.18,1.56,-0.2,0.038,70,415,1.00091,3.32,-0.19,11.2,1,7,3
1398,,13.8,1.16,-0.18,,0.027,-70,143,0.94694,2.49,1.16,6.9,2,7,3
1404,,17.2,0.17,-1.05,-102.4,0.059,,331,0.99322,4.31,0.46,11,1,8,1
1405,,11.8,0.19,0.34,1.8,-0.248,-22,-151,1.02444,2.87,0.66,11.1,0,8,2
1419,,-3.4,0.29,0.56,11.9,0.103,148,230,1.01998,3.02,-0.8,9.3,0,8,
1421,,6.4,0.06,0.28,-40.4,0.039,53,124,1.02858,3.2,0.43,12.7,-2,7,2
1426,,14.7,1.45,1.81,55.2,0.354,-57,400,0.99196,3.25,0.15,14.6,-1,8,
1431,,7.3,-0.32,1.49,-19,-0.122,,185,1.03159,3.07,0.62,10.6,0,8,
1435,,4.2,1.56,0.25,28.5,0.191,8,120,0.93701,4.38,,9.8,-1,7,2
1437,,5,0.33,0.16,69.7,0.049,10,-223,1.01528,4.74,0.44,10.7,0,5,
1438,,-3.6,1.53,0.06,35.7,,165,852,1.00164,3.81,0.5,-1.85,1,7,
1442,,9.2,0.21,-0.86,28.1,,-131,151,1.08195,3.04,1.13,10.2,-2,10,
1464,,6.2,-1.83,-0.02,-0.5,0.036,38,-22,0.99622,2.73,,9.4,-1,7,
1471,,-0.7,1.82,1.81,2.1,0.108,272,52,0.9742,3.4,,11,1,8,1
1473,,6.2,1.69,-1.17,138.2,0.05,295,54,0.9874,3.33,0.46,6.2,1,7,2
1476,,-3.1,0.415,0.32,25.1,0.047,-20,152,1.02263,3.88,0.42,-4.2,-1,6,2
1478,,8.1,-0.235,-1.25,32.3,0.08,-103,339,0.97772,3.3,-1.18,9,-1,9,1
1479,,5.6,0.26,0,24,0.038,48,111,0.94448,3.01,0.46,12.4,0,6,2
1487,,11.6,-1.15,-1.24,1.1,0.032,113,843,0.99207,2.73,0.36,12.5,1,7,3
1492,,7.6,-1.15,1.37,4.3,0.054,297,105,0.9956,3.12,0.49,6,1,8,2
1496,,6.5,-0.08,0.23,9.4,0.207,112,381,0.97324,4.37,1.16,9.9,-1,7,2
1497,,-3.1,1.56,0.23,,0.258,-43,9,0.96367,4.04,2.12,13.1,1,8,
1515,,-0.2,-0.63,0.24,17.8,0.643,,124,0.97312,4.3,0.45,10.1,0,6,1
1519,,-1.4,0.43,0.41,-34.3,-0.542,103,167,1.0421,3.16,0.53,8.9,0,8,
1522,,7.4,0.32,0.55,7.7,0.056,-183,238,0.91352,2.96,0.58,8.7,-1,8,2
1526,,5.8,0.17,0.34,44.7,0.602,96,377,0.98227,3.94,1.62,10.2,1,6,1
1537,,5.3,-0.96,-1.06,1.2,-0.979,48,119,1.04199,2.89,2.38,14.1,0,8,1
1538,,6.5,0.24,0.29,,-0.147,-9,424,0.96813,3.13,0.7,10.1,0,7,3
1540,,17.3,0.33,0.34,1.4,0.056,-161,528,0.9946,5.01,0.47,5.4,-1,10,1
1543,,-14.5,0.28,0.1,33.5,-0.17,29,-224,0.97736,3.27,,10.6,0,8,2
1548,,18.2,-0.67,0.29,,0.05,41,89,0.99556,1.37,-0.54,9.8,-1,8,
1549,,16.5,0.18,0.48,-6.9,0.186,64,-6,0.9945,2.39,0.4,17,0,7,
1556,,13,1.37,1.14,8.6,0.06,112,-164,0.9935,3.08,0.26,8.5,-1,8,2
1564,,7.4,-0.87,0.42,59.6,-0.169,48,280,0.9979,1.98,0.42,13.8,0,8,
1570,,5.6,0.3,-0.65,-8.3,0.419,-94,142,0.98784,4.8,-0.07,4.5,-1,6,3
1577,,7.2,0.95,0.18,2.1,-0.413,-171,31,0.99761,3.66,0.83,9.6,-1,8,1
1585,,6.3,1.28,1.44,6.6,-0.097,203,356,0.99478,3.1,0.4,8.4,0,7,3
1590,,7.5,0.26,0.59,11.8,0.046,59,-140,1.03292,3,0.46,6.2,1,8,2
1592,,6.5,0.31,0.14,13.5,0.044,34,-255,0.97967,2.98,1.07,11.7,-1,7,
1594,,11.9,1.57,1.42,22.5,-0.062,155,-37,0.99535,3.12,0.55,6.6,-1,8,
1596,,-4.1,0.37,1.37,1.9,0.024,-64,106,0.98993,3.45,0.6,12.6,2,7,4
1598,,16.4,0.24,1.93,2,0.041,14,-102,0.96009,3.04,0.45,11.6,0,6,4
1603,,-16.1,-0.15,-1.47,5,0.33,-183,526,0.95857,,0.71,3.7,0,6,
1607,,13.7,-0.46,-1.24,-109.2,0.054,7,-276,0.99508,2.26,1.06,11.5,-1,8,
1612,,7.2,-0.53,0.39,30.2,0.053,26,393,0.99166,3.31,3.55,10,1,8,4
1627,,-0.8,0.26,2.65,-8.1,0.121,322,119,1.02509,2.65,0.61,,1,7,2
1629,,6.5,-0.32,-0.36,3.4,-0.532,34,186,0.9937,3.14,0.76,10,1,7,1
1630,,6.2,-0.74,1.07,1,-0.289,-232,148,0.9927,,0.45,14.3,-1,7,2
1640,,16.3,1.09,0.36,,0.031,144,268,1.03808,3.28,2.59,,1,8,4
1641,,4.4,0.3,1.66,1.4,0.032,-1,161,1.01229,2.9,0.42,15.4,0,8,3
1646,,5.5,-0.5,0.03,1.8,0.573,14,87,1.02355,3.69,1.49,14,0,6,2
1662,,10.3,1.26,0.31,,-0.238,245,-17,0.99818,2.93,0.32,11.5,1,9,
1668,,11.1,1.39,0.08,4.4,0.373,,32,0.99646,3.56,1.56,11.8,0,7,
1671,,9.7,0.69,1.7,40,0.088,-56,91,0.99681,2.82,0.62,10.1,1,11,
1672,,-1,0.27,0.42,48.6,0.097,45,444,1.04537,2.13,-0.67,12.3,0,7,3
1673,,24.4,0.27,0.48,-46.8,-0.551,17,132,0.9914,3.19,,16.5,1,8,4
1686,,-4.2,-1.19,0.17,1.6,-0.144,-78,129,0.9763,3.22,0.84,11.4,0,6,2
1688,,6.8,0.75,0.49,44.1,0.142,52,-225,0.9937,3.49,2.11,9,0,8,3
1696,,-11.6,0.18,-0.88,-16.6,0.047,60,-142,0.95971,3.93,2.49,10.5,-1,7,3
1701,,1.5,-0.22,1.6,-115.8,0.573,30,96,1.03859,4.18,1.94,13.1,0,7,4
1707,,5.8,-0.53,-1.32,-50.1,0.038,49,133,0.96414,3.16,,11.7,0,6,2
1708,,10.3,0.18,0.3,6.4,-0.026,243,251,0.9956,2.99,0.52,8.6,1,7,1
1713,,6,1.67,1.51,-46.4,0.422,50,48,1.01553,3.3,1.67,8.5,0,6,2
1715,,2.2,-0.31,-1.38,4,0.023,,237,1.00832,2.68,,11.6,-1,7,3
1717,,6.7,1.67,-1.15,49.05,0.041,118.5,216,0.9949,2.27,0.66,15.5,0,7,1
1721,,6.6,0.26,0.29,0.5,-0.42,82,114,0.99295,1.7,0.38,10.5,-1,7,2
1724,,7.2,0.16,-1.09,,0.16,,84,0.99007,3.33,1.61,13.9,0,8,1
1725,,6.6,0.17,1.35,109.7,0.416,-106,-123,0.99207,3.13,0.45,10.2,-1,7,2
1730,,6.2,0.89,1.92,4.6,0.031,261,73,0.99032,3.37,0.52,11.3,0,7,2
1731,,6.8,3.17,0.14,6.9,0.118,32,133,0.96245,3.27,-1.23,7.7,0,7,3
1734,,-0.2,0.33,0.32,4.6,0.041,31,227,0.98303,3.05,0.74,15.1,2,9,1
1740,,6.7,0.27,-1.28,-23.9,0.036,44,179,1.09858,2.88,2.09,9.6,1,7,1
1748,,14.1,0.21,0.28,36.5,-0.535,29,-132,0.99278,4.9,1.53,11,0,7,1
1749,,17.5,0.47,0.99,2.4,0.074,515,29,0.9979,3.08,-0.87,9.5,1,10,2
1750,,7.4,0.21,0.3,8.1,0.047,13,-128,1.03086,1.95,0.35,12.1,1,8,4
1763,,0.8,-0.71,-0.49,2.5,-0.512,31,-137,0.99014,2,0.5,11.3,0,7,1
1768,,3.5,0.2,-0.76,-34.1,0.382,450,-116,0.98993,4.61,0.16,10.8,0,6,3
1773,,-15.8,0.32,0.41,2.2,,24,260,0.99778,2.21,-2.47,9.5,-1,9,1
1777,,2.2,0.13,-0.73,16.1,0.037,13,101,0.93175,3.17,2.05,17.9,1,7,
1778,,11,0.48,0.24,-15.7,0.102,13,35,1,3.08,0.56,10,0,11,
1780,,11.5,-0.19,0.31,51.9,-0.251,446,510,0.99,3.06,0.45,11.8,0,7,1
1782,,20.5,1.46,-1.27,-27.2,0.499,12,7,0.98329,3.16,0.7,13.9,0,10,
1784,,11.8,0.24,0.41,8.7,-0.115,306,-271,0.97346,3.22,0.62,12.5,1,7,2
1786,,7.9,0.63,0.99,14.1,-0.756,238,148,1.02933,3.16,0.5,,0,8,2
1787,,11.2,0.255,0.65,-22.7,0.627,-237,253,0.99307,4,,10.4,1,7,2
1792,,7.1,1.53,0.4,6.3,0.172,-72,-188,0.99566,3.28,1.57,12,0,9,
1800,,6,0.05,0.95,1.8,0.03,,105,0.98946,3.31,-0.16,10.7,-1,6,1
1801,,8.4,-0.43,1.94,14.9,0.032,60,339,1.02038,4.16,0.61,8.6,-1,8,2
1803,,6.9,0.35,0.98,-10.9,0.076,238,137,1.04651,2.94,0.81,11,0,9,1
1804,,6.9,-0.59,0.5,19.25,0.043,-169,590,0.99954,2.93,1.83,9.1,-1,7,3
1807,,6.3,2.93,-0.91,2.5,0.035,281,830,0.9468,2.46,0.47,13.3,-1,7,1
1818,,7.5,-0.05,0.47,-36,0.058,26,111,0.99834,2.56,0.34,10.7,2,8,3
1821,,15.3,0.27,0.19,48.7,0.085,147,169,0.95058,2.36,2.32,7.2,1,7,1
1822,,-12.4,-1.15,0.22,53.8,0.046,18,66,0.96567,5.06,-0.51,10.3,0,7,3
1828,,17.2,0.26,0.3,2,0.453,13,930,1.01126,3.61,0.49,15,0,8,1
1833,,14.1,0.67,0.86,61,-0.41,-199,115,0.9909,4.13,2.14,,0,6,2
1844,,6.2,2.82,0.2,1.6,0.069,-214,196,0.98985,3.41,0.56,6.4,0,7,3
1847,,5.8,0.26,0.24,65.6,0.044,55,-67,0.97195,4.11,1.41,10.5,0,6,1
1850,,15.6,0.21,0.28,66.7,0.159,288,241,0.95398,3.25,0.72,8.5,-1,7,1
1854,,7.6,0.22,-0.32,12,0.056,221,495,1.01667,2.99,0.3,9.2,0,8,2
1858,,-1.3,0.5,0.38,7.5,0.81,-10,-252,1.00397,3.87,-0.07,9.1,1,8,3
1864,,7,1.98,0.17,,0.123,15,-263,0.99514,3.44,1.07,10.55,0,8,3
1867,,8.7,0.38,1.32,27.3,0.272,-81,,1.04709,3.17,0.68,9.8,0,14,1
1876,,5.9,0.445,1.23,56.8,0.071,,109,0.9453,3.5,0.36,10.5,0,7,1
1880,,-1.7,1.44,0.34,-38.5,-0.012,445,428,0.99627,2.43,,3.2,0,8,
1881,,8.8,0.55,-1.04,-10.2,0.601,-272,-135,0.99658,3.3,,5.5,-1,10,1
1891,,-0.3,-1.03,0.28,,-0.062,191,158,0.89337,3.17,-0.9,6.8,0,8,1
1894,,10.7,0.4,0.47,2.1,0.125,,49,0.998,3.03,0.81,9.7,0,12,2
1895,,-0.7,1.41,0.19,5.1,-0.178,6,114,0.99938,3.25,3.05,6.8,1,7,2
1901,,23.6,0.29,-2.02,14.6,0.528,,386,1.08173,3.51,4.01,11.4,1,7,
1905,,6.9,1.43,-0.27,15,-0.268,-117,-209,0.97531,3.14,3.22,9.2,1,7,2
1912,,7.9,0.18,-0.66,48.9,0.262,25,267,0.995,0.95,-0.53,10,2,8,3
1918,,9,0.34,-0.21,12.6,0.359,38,41,0.9942,4,-1.11,11.7,-1,8,2
1921,,6.8,-0.08,0.24,7.8,-0.514,54,214,0.9961,3.89,-0.38,7.6,0,7,2
1923,,4.4,0.32,-0.41,7.9,0.413,-146,109,0.9906,2.91,0.46,14.8,-1,8,2
1924,,16.7,0.28,0.31,-37.45,0.133,48,161,1.0406,2.86,1.65,3.6,1,7,
1931,,16.5,0.87,0.31,5.2,0.099,36,77,1.00421,3.35,,12.3,-1,8,1
1941,,6.3,-0.025,0.08,16,-0.285,26,141,0.99824,3.08,0.5,10.4,0,7,3
1950,,6.4,-0.65,0.44,56.5,0.043,96,201,0.95229,2.85,0.48,9.5,-2,7,
1951,,-15.8,0.25,0.3,1.6,-0.001,226,134,0.993,2.09,0.49,10.1,0,7,3
1954,,5,0.17,1.8,-46.7,0.183,-150,499,1.04099,2.93,0.57,12.8,1,6,2
1961,,6.6,0.895,0.77,27.6,0.068,289,13,0.99582,2.92,0.58,10.8,0,8,2
1966,,6.5,-1.14,1.79,7.6,0.508,180,,0.95017,2.8,0.61,9.7,0,7,2
1979,,5.3,0.36,-0.69,-13.25,0.034,377,475,0.9952,3.82,-0.78,13.4,0,6,2
1982,,8,-0.76,-1.11,3.1,0.363,509,-116,0.95825,3.18,,10.8,0,9,
1987,,-0.7,0.32,0.26,12.3,0.044,140,205,0.99611,3.11,1.99,9.9,0,7,1
1997,,-11.6,-0.44,0,2.1,0.132,,-321,0.995,3.02,-0.91,10.7,0,7,1
2004,,11,0.25,0.36,2.1,0.034,30,189,1.00255,3.25,-0.6,6.3,0,8,3
2011,,6.9,0.36,0.35,8.6,-0.131,37,-315,1.02753,3.81,0.32,12.4,0,8,4
2015,,16,-0.45,-0.11,44.5,0.402,-3,111,0.96006,2.07,0.62,7.6,1,7,1
2025,,8.7,0.26,0.29,2.1,0.033,211,17,0.9909,3.33,-0.26,16.4,2,8,4
2033,,8.1,-0.87,1.69,1.2,,49,-64,0.98087,3.13,0.98,9.7,0,9,
2034,,2,0.3,-0.19,45.7,0.042,21,582,0.99166,,0.57,11.4,1,8,2
2035,,6.2,-0.4,0.63,30,,-29,362,0.9952,2.64,0.37,10.7,0,7,
2036,,6,-0.48,-0.96,1.2,-0.354,192,124,0.99176,3.08,0.46,13.6,-2,6,
2053,,6.7,0.58,0.62,1.8,0.893,-33,65,0.97398,3.28,0.54,1.9,0,7,1
2059,,11.5,0.54,0.24,10.6,0.124,,132,0.985,2.62,1.7,11.8,-1,13,3
2060,,5.2,0.44,0.02,62.2,0.036,43,257,0.99383,2.88,0.13,18.7,-1,6,
2073,,7.3,0.25,-0.04,69,-0.704,35,200,0.96278,3.04,,8.9,0,8,1
2084,,6.9,0.91,-0.33,-48.8,-0.067,334,190,0.99595,3.22,0.48,9.4,0,7,1
2089,,8.6,1.84,-0.1,66.5,0.035,49,804,1.02135,0.62,0.34,10.5,-1,6,3
2092,,6.8,0.24,0.95,3.2,0.049,-265,161,0.95257,3.1,0.69,7.9,-1,7,
2109,,5.5,0.31,-0.97,-33.3,-0.348,36,148,0.9928,3.28,0.41,13.3,0,7,4
2129,,10,0.35,1.46,-119.9,0.069,-157,281,0.99941,3.15,0.43,13,1,11,3
2134,,8,1.55,-0.69,79.9,0.285,13,18,0.99868,2.83,0.55,9.5,2,9,3
2135,,4.4,0.32,0.39,-54.8,-0.026,31,559,0.98904,2.96,-0.49,15.6,1,5,2
2148,,7.4,0.31,-0.65,-20.8,,273,204,1.01318,3.55,-0.06,13.2,1,8,1
2149,,11.8,0.58,0.2,19.3,0.642,34,44,0.99494,3.1,,9.3,1,8,
2150,,7.6,-0.22,0.28,27.9,0.398,29,451,1.04444,2.86,-0.03,4.2,-1,8,1
2165,,7.1,0.86,0.35,-97.8,0.046,60,590,0.999,3.16,0.59,9.1,0,8,1
2166,,1.5,0.18,0.74,66.6,1.071,,528,1.01187,3.89,0.67,12.4,0,8,1
2168,,6.6,0.78,-0.35,14.4,,264,183,1.03426,3.02,0.5,2.9,0,7,4
2170,,8.4,-0.65,0.42,58.8,0.554,7,77,0.99317,2.48,0.45,11.7,-2,9,
2171,,6.7,0.24,0.33,12.3,0.046,-53,-177,0.9983,2.93,0.4,9.5,-1,7,1
2172,,-2,0.33,0.36,-40.4,0.034,19,-219,0.98601,3.65,0.98,12.7,1,9,1
2176,,6.3,0.4,-0.38,-3.1,-0.342,-112,220,0.95745,3.8,0.55,11.3,1,7,3
2182,,5.8,-0.18,0.66,2,0.039,-185,88,1.02778,4.03,0.93,11.5,-1,7,2
2189,,7.9,0.37,0.31,0.35,0.042,36,-246,1.00631,3.49,0.36,12,-1,9,1
2191,,0.3,0.26,-1.23,2.6,,112,-79,0.9902,3.46,0.38,11.5,1,6,2
2197,,5.9,0.22,0.27,11.5,0.312,81,157,0.9928,3.05,2.24,14.9,0,7,1
2202,,8,1.08,0.1,-47.7,-0.139,284,68,0.98386,2.43,-0.28,17.1,1,9,
2203,,8.2,-0.08,0.44,-27.1,0.089,358,-247,0.9975,3.53,0.61,10.5,0,9,2
2204,,11.9,0.4,1.7,2.15,0.068,44,411,0.9988,3.72,0.68,6.8,-1,13,
2206,,5.8,1.34,0.32,,0.037,111,119,1.00053,3.78,1.82,10.2,1,6,2
2218,,6.2,1.69,0.65,44.6,0.102,32,284,0.96657,3.87,0.71,9.8,0,11,1
2219,,11.4,1.37,0.32,15.6,0.249,-200,90,1.01194,3.37,0.92,11,0,7,2
2221,,6.8,-0.7,-0.13,11.3,0.017,16,61,0.96051,4.57,0.6,9.3,0,8,
2226,,1.6,0.69,0.41,2.3,0.079,24,37,0.99514,2.33,-0.24,14.9,0,8,
2228,,5.1,0.41,0.33,73.8,0.043,,152,0.96967,3.2,1.75,9.4,-1,8,2
2232,,13.9,0.7,0.38,1.2,0.029,73,132,0.93975,4,,7.3,0,6,2
2236,,9.4,1.55,1.86,-21.5,0.494,-339,445,1.0004,3.28,2.75,4.1,0,12,
2241,,6.2,-1.815,0,2.1,0.06,6,60,0.99676,4.41,0.35,10,-1,7,1
2245,,7.1,0.29,-0.25,1.2,-0.442,183,406,0.9893,3.24,-1.02,11.8,1,8,3
2251,,3.8,-1.11,1.26,21.7,-0.308,,90,0.9944,2.76,0.42,10.5,-1,9,3
2255,,7,0.55,0.22,,0.154,88,801,1.01214,3.66,0.49,16.7,1,7,3
2256,,6.7,0.23,-1.2,9.3,0.172,63,-112,0.9937,2.48,0.96,12.9,0,7,2
2259,,6.4,1.41,-0.7,9.1,0.044,35,-129,1.00663,1.83,1.78,11,0,7,
2263,,7.2,-0.49,0.32,,0.022,-120,116,0.99218,3.04,0.67,5.3,0,8,2
2264,,4.2,0.39,0.35,,0.044,251,421,0.9941,3.17,,,0,8,2
2267,,7,1.09,1.31,2.1,-0.451,15,31,0.993,3.2,3.31,14.7,0,8,
2273,,7.8,0.59,0.18,2.3,0.097,-238,131,0.9975,3.43,1.66,10,-1,9,1
2277,,6.9,1.11,-1.08,14.2,-0.2,40,94,1.01779,3.47,-1.22,9.6,1,7,2
2287,,2.6,-0.67,-0.53,1.6,0.333,9,458,0.99672,3.07,0.95,11.2,0,11,3
2289,,5,0.255,1.46,2.7,-0.483,46,153,0.99238,2.96,0.76,10.4,-1,5,2
2291,,7.9,0.03,-0.91,4.9,-0.01,31,519,0.9966,2.85,0.51,9.7,-1,9,
2296,,8.9,1.23,0.26,30.2,0.041,-90,187,0.9953,4.18,0.61,9.5,-1,10,1
2299,,6,0.14,-0.75,,,138,168,0.99185,2.45,0.44,,-1,7,
2306,,3.8,1.13,1.38,9.6,0.027,-102,243,0.95283,3.99,-0.85,13.1,-1,7,2
2314,,-3.7,-0.48,0.38,-15.4,0.324,-444,4,0.9966,3.4,-1.15,15.9,1,9,
2317,,3.7,1.32,0.38,0.95,0.033,89,159,0.97527,3.34,0.42,8,-1,5,1
2318,,-4,1.58,-1.1,6.3,0.051,26,229,0.99404,3.36,0.87,6.3,0,8,3
2321,,1.9,-0.47,0.61,7.9,0.536,53,-128,0.97687,2.57,1.67,9.6,0,7,3
2324,,7.2,1.59,0.24,42.8,,19,-114,0.99176,3.14,0.59,12.8,1,8,2
2340,,6.4,0.26,-0.06,7.1,0.04,35,509,0.94944,3.39,3.83,3.3,-1,7,2
2343,,8.1,-0.51,2.12,-86.7,0.055,58,,0.9968,2.46,0.8,13.4,-2,8,2
2349,,2.1,-0.82,1.07,51.6,-0.418,31,12,0.99605,3.52,0.47,12.7,-1,9,
2352,,7,0.3,0.49,,-0.19,-18,49,0.96549,3.23,-0.45,12.4,1,8,3
2353,,6.2,0.6,-1.04,0.7,0.051,-254,111,0.9916,3.37,2.85,11,-1,7,
2365,,0.6,-1.88,0.33,2.7,-0.247,195,121,1.02505,3.22,0.68,10,0,11,1
2370,,-15.8,0.18,0.34,63.3,0.066,-139,,0.97883,2.81,1.8,11.8,0,8,
2378,,5.8,1,0.2,2.6,0.027,,123,0.96146,3.36,0.78,13.9,-1,6,2
2390,,8.9,1.18,0.91,4.6,0.032,-13,-212,0.99458,3.15,-0.28,11.5,-1,10,
2399,,25.8,-0.49,-0.96,44.8,-0.751,13,289,0.9623,4.4,0.84,4.9,1,8,
2402,,11.1,0.13,0.92,-26,0.474,-46,172,0.9938,3.23,0.39,7.4,0,8,
2403,,6.9,0.41,-0.93,9.9,0.079,54,-278,0.96681,3.47,0.55,12.9,1,8,
2404,,6.8,0.26,-0.34,34.7,0.06,42,162,0.99705,2.11,-1.19,13.2,0,7,
2414,,6.3,0.17,0.32,54.2,0.43,267,92,1.06352,3.24,0.43,15.4,1,7,3
2422,,14,0.13,1.33,-39.65,0.315,36,105,0.96002,4.08,0.55,8.5,0,8,2
2424,,8.4,0.75,1.96,11.8,0.646,51,170,1.06136,5.35,0.82,7.4,1,9,
2430,,6.5,-0.05,0.61,-44.2,-0.258,31,123,0.99708,3.41,-2.94,,0,7,2
2435,,2.2,0.32,0.28,-22.7,0.034,-15,100,0.99026,3.08,0.47,8.4,-1,7,2
2439,,2.2,1.02,1.42,34.7,,41,294,0.99612,3.33,0.48,15.9,0,6,
2442,,-3.4,0.19,1.35,54.2,-0.202,85,-207,1.03187,2.99,0.59,21.8,1,8,2
2445,,6.1,-0.48,0.25,-21.4,0.526,24,115,0.9921,3.39,2.34,12.1,0,7,2
2449,,3.1,-0.9,0.04,1.7,-0.251,219,241,0.9942,3.96,1.81,15.7,1,6,
2451,,-1.6,0.61,0.01,2,-0.176,13,38,1.04031,2.18,0.65,8.2,0,8,
2461,,15.5,0.84,-1.96,-23.1,-0.369,16,65,0.997,3.57,0.72,15.95,1,8,1
2464,,6.7,-0.58,1.15,10.6,0.035,42,523,0.99307,3.08,,9.8,0,7,2
2465,,6.7,0.47,0.5,61.5,0.052,24,-166,0.9053,2,-1.02,8.5,0,7,2
2472,,-4.4,0.22,0.31,2.3,-0.49,-28,-40,1.03272,,-0.76,14.1,-1,8,2
2476,,-0.3,0.6,-0.51,70.8,0.047,4,224,1.00474,2.45,2.23,8.9,-1,7,1
2482,,-0.2,-0.54,-0.91,-51.7,-0.004,198,191,0.99297,2.8,1.02,9.5,0,7,1
2487,,6.7,0.18,-0.52,-54.5,-0.459,42,-227,0.99572,3.08,-0.35,9.8,1,7,3
2498,,6.5,0.82,0.3,-40.65,0.051,-10,-260,1.02662,3.24,-1.13,12.15,1,7,2
2501,,6.6,0.29,-0.34,9,0.553,,253,0.96336,2.9,0.45,8.9,0,7,2
2504,,4.2,2.49,-1.01,-33.5,0.029,53,160,0.9852,3.03,0.46,7.3,0,8,1
2511,,9.8,-0.66,0.49,-25.4,0.088,15,-205,0.99469,3.42,1.84,16.8,0,11,
2518,,12.7,0.23,1.38,-8.1,0.592,-235,151,0.94438,3.18,0.4,5.4,1,7,3
2521,,8.2,-0.8,0.42,,-0.335,117,,0.9624,3.43,1.34,13,1,7,3
2530,,16.7,1.47,0.31,53.8,0.036,45,342,0.99216,4.17,1.15,14,-1,8,2
2543,,6.3,0.23,0.49,,0.145,67,210,0.9703,2.16,1.06,11.3,1,7,2
2545,,7.6,1.1,0.6,-57.7,0.368,23,381,1.03987,3.38,-0.98,10.5,1,9,2
2561,,5.8,0.18,1.87,27.4,,222,418,0.98871,2.96,0.34,12.1,-1,6,3
2566,,7.4,1.59,0.24,-38.2,0.31,255,,0.9953,3.13,0.51,12,0,8,2
2572,,14.3,1.48,0.26,-14.9,0.127,-40,255,0.9951,3.72,0.37,12.9,0,7,1
2577,,6.8,0.19,2.1,50,0.038,124,164,0.98487,3.12,0.48,4.9,1,8,1
2578,,0.4,0.69,1.49,60.3,0.069,35,182,0.99391,3.11,0.46,12.733333333,0,6,
2580,,8.4,2.41,0.4,-40.9,0.067,-214,20,0.99603,4.22,-0.29,10.5,1,9,1
2581,,11.8,0.2,0.31,3.6,0.036,22,183,0.95994,3.41,0.5,9.8,0,6,3
2582,,0.8,0.44,0.36,-25.7,0.116,-112,178,0.9976,3.01,0.48,13.4,1,8,2
2584,,7.3,0.18,-1.25,13.5,0.055,-45,197,1.0002,4.01,,14.4,0,8,1
2590,,3.1,0.27,0.32,4.5,-0.231,29,178,1.00787,3.45,-0.42,12.1,0,6,3
2598,,4,-0.61,0.3,27.1,1.201,18,275,0.92656,3.88,1.94,9.6,-1,8,2
2602,,6.2,-0.97,0.29,2.1,-0.225,123,98,1.06779,4.3,,9.8,0,7,
2605,,1.2,-1.22,-0.61,-16.1,0.052,38,231,0.998,2.82,1.53,,1,8,3
2616,,13.8,0.36,0.38,-27,0.028,107,318,0.99274,2.74,0.43,12.1,0,7,2
2618,,7.2,0.35,-1.26,28,1.145,-16,75,1.01934,3.4,3.41,9.5,0,8,2
2619,,6.3,-0.015,0.22,,-0.109,26,141,0.99824,2.88,0.5,10,-1,7,
2624,,9.6,1.65,1.94,-26.2,-0.241,-11,156,1.04008,,0.36,4.1,1,7,3
2632,,6.5,-0.88,-0.43,1.5,0.062,44,-51,0.9928,2.66,0.44,13.3,0,7,
2640,,-10.1,0.26,0.21,57.9,-0.142,237,125,0.99695,3.06,0.73,10.7,0,7,2
2646,,6.7,-0.78,0.29,5.3,0.586,31,122,0.98948,3.44,0.79,16.5,0,7,3
2651,,7.2,-2.07,-0.97,1.4,0.316,5,,0.96621,4.26,0.12,7.3,1,8,
2660,,9.1,0.3,0.74,19,0.265,293,-188,0.9945,3.21,0.46,9.9,0,8,
2661,,7.1,-0.33,1.47,-6.4,0.129,-135,87,0.98215,3.26,0.81,25.6,-1,8,3
2668,,15.4,1.87,1.61,2.7,0.119,304,80,1.00359,3.03,0.37,11.3,-2,7,
2670,,-1.3,0.21,-0.38,35.4,-0.358,49,115,1.04331,4.13,1.26,-0.2,1,7,
2680,,18.8,0.31,-0.27,1.6,0.021,-138,67,0.9924,3.08,0.25,10.5,1,9,1
